id,country_of_origin,farm_name,average_altitude_m,region,number_of_bags,bag_weight_kg,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,overall,defects,total_cup_points,moisture_percentage,category_one_defects,quakers,color,category_two_defects,total_bag_weight
0,Colombia,Finca El Paraiso,1815.0,"Piendamo,Cauca",1,35.0,castillo,double anaerobic washed,8.58,8.5,8.42,8.58,8.25,8.42,10.0,8.58,0,69.33,11.8,0,0,green,3,35.0
1,Taiwan,Royal Bean Geisha Estate,1200.0,Chiayi,1,80.0,gesha,washed / wet,8.5,8.5,7.92,8.0,7.92,8.25,10.0,8.5,0,67.59,10.5,0,0,blue-green,0,80.0
2,Laos,OKLAO coffee farms,1300.0,Laos Borofen Plateau,19,25.0,java,semi washed,8.33,8.42,8.08,8.17,7.92,8.17,10.0,8.33,0,67.42,10.4,0,0,yellowish,2,475.0
3,Costa Rica,La Cumbre,1900.0,"Los Santos,Tarrazu",1,22.0,gesha,washed / wet,8.08,8.17,8.17,8.25,8.17,8.08,10.0,8.25,0,67.17,11.8,0,0,green,0,22.0
4,Colombia,Finca Santuario,1975.0,"Popayan,Cauca",2,24.0,red bourbon,"honey,mossto",8.33,8.33,8.08,8.25,7.92,7.92,10.0,8.25,0,67.08000000000001,11.6,0,2,yellow-green,2,48.0
5,Guatemala,La Colina,1668.0,Chimaltenango,5,30.0,gesha,washed / wet,8.33,8.33,8.25,7.83,7.83,8.17,10.0,8.25,0,66.99000000000001,10.7,0,0,green,2,150.0
6,Taiwan,野牡丹咖啡莊園 Melastoma Coffee Estate,1250.0,Chiayi,1,27.0,gesha,washed / wet,8.33,8.17,8.08,8.0,7.83,8.25,10.0,8.25,0,66.91,9.1,0,0,green,0,27.0
7,Taiwan,七彩琉璃咖啡莊園 Chi Tsai Liu Li Ecological Farm,1200.0,Chiayi,1,90.0,"sl34,gesha",natural / dry,8.25,8.25,8.17,8.0,7.92,8.08,10.0,8.08,0,66.75,10.0,0,0,yellow-green,1,90.0
8,Taiwan,亮軒咖啡莊園 Liang Xuan Coffee Farm,1250.0,Chiayi,1,30.0,sl34,washed / wet,8.08,8.08,8.25,8.08,7.92,8.0,10.0,8.25,0,66.66,10.8,0,0,greenish,0,30.0
9,Tanzania,MASHIMA AMCOS,1550.0,KILIMANJARO,320,60.0,bourbon,washed / wet,8.08,8.17,8.08,8.17,8.0,8.0,10.0,8.0,0,66.5,11.0,0,0,greenish,0,19200.0
10,Ethiopia,TADE GG,2000.0,Guji,10,30.0,ethiopian heirlooms,natural / dry,8.08,8.25,8.0,8.08,7.92,7.92,10.0,8.0,0,66.25,11.8,0,1,greenish,1,300.0
11,Guatemala,Karen Acajabon Coffee Farm,2000.0,Acatenango,5,15.0,gesha,natural / dry,8.08,8.0,8.0,7.75,8.25,8.17,10.0,8.0,0,66.25,11.5,0,0,brownish,1,75.0
12,Taiwan,古峰咖啡莊園 Goodfun Coffee Farm,1250.0,Yunlin,1,60.0,gesha,washed / wet,8.08,8.0,8.08,8.08,8.0,8.0,10.0,8.0,0,66.24,11.9,0,0,green,0,60.0
13,Ethiopia,Gelana Geisha,1950.0,Guji,40,60.0,gesha,natural / dry,7.67,8.17,8.0,8.33,8.0,8.0,10.0,8.0,0,66.17,11.6,0,3,yellow-green,2,2400.0
14,Colombia,La Gaitania,1850.0,tolima,70,35.0,caturra,washed / wet,8.08,8.0,8.08,7.92,8.08,8.0,10.0,8.0,0,66.16,10.6,0,0,green,0,2450.0
15,Taiwan,青葉咖啡莊園,1100.0,Chiayi,1,60.0,sl34,semi washed,8.17,8.08,8.0,7.92,8.0,7.92,10.0,8.0,0,66.09,10.2,0,0,green,0,60.0
16,Ethiopia,Halo Bariti Cooprative,2000.0,"Gedeb,Yirgacheffe,Sidamo",8,5.0,"wolishalo,kurume,dega",washed / wet,8.17,8.08,7.92,8.17,7.75,7.92,10.0,8.08,0,66.09,11.3,0,2,green,2,40.0
17,Taiwan,東璧咖啡莊園,1300.0,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",5,2.0,gesha,natural / dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,8.17,0,66.10000000000001,10.3,0,0,yellow-green,0,10.0
